album,album_type,track_id,track_number,name,popularity,duration_ms,release_date,artists
Criolo E Emicida Ao Vivo (Live),album,7bLMLwx6gJrCXoppD2YqOu,5,Subirusdoistiozin - Live,34,211280,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,2SPPB8Wi85U3cn6ptXLsR4,6,Demorô - Live,32,213773,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,0s76fxVvT3GOz0sEU64v4j,7,Viva (Melô Dos Vileiros) - Live,31,213960,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,4dr8LN0s4WhnLLTzfsZkj5,8,Só Mais Uma Noite - Live,32,188666,2013-01-01,"['Criolo', 'Emicida', 'Evandro Fióti']"
Criolo E Emicida Ao Vivo (Live),album,1Yxukx85EzhKgZpzbNywQv,9,Não Existe Amor Em SP - Live,34,392480,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,6KzAGApzyPBttDCH9rKUNv,10,Linha De Frente - Live,34,240373,2013-01-01,"['Criolo', 'Emicida', 'Rodrigo Campos']"
Criolo E Emicida Ao Vivo (Live),album,2e1FJPgVRQZFT53QKUR7BD,11,A Cada Vento - Live,35,243373,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,1FsemVMaaJRX9YKHBT5kAs,12,Outras Palavras - Live,31,294813,2013-01-01,"['Emicida', 'Criolo']"
Criolo E Emicida Ao Vivo (Live),album,1b0rnT35mqbls6Mh1EwVwE,13,Lion Man - Live,31,247680,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,0UZ3juSCFsN6lINBadUZNZ,14,Grajauex - Live,32,191453,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,19Oj8jiVAn3qRr0DhlLU1j,15,Triunfo - Live,36,273426,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,0ITzKSRykU81569IrYUhVC,16,"Capítulo 4, Versículo 3 - Live",34,127053,2013-01-01,"['Criolo', 'Emicida', 'Mano Brown']"
Criolo E Emicida Ao Vivo (Live),album,3KYbhVPCxYHIeZg8Zy07ay,17,Vida Loka I - Live,39,271840,2013-01-01,"['Criolo', 'Emicida', 'Mano Brown']"
Criolo E Emicida Ao Vivo (Live),album,3xfUu8alkwuMg8UBht9TtW,18,Bogotá - Live,31,369773,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,6F4zAdEznwkmn8MHJtcjtT,1,Zica Vai Lá - Live,33,238346,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,5UmdgDfLHZO3ceGp6qp7yy,2,Dedo Na Ferida - Live,33,226160,2013-01-01,"['Emicida', 'Criolo']"
Criolo E Emicida Ao Vivo (Live),album,09sMZakpoYDwZIdqgg9YKS,3,Rua Augusta - Live,36,177560,2013-01-01,"['Emicida', 'Criolo']"
Criolo E Emicida Ao Vivo (Live),album,5K0z3idLxEFY0tv82NeMPe,4,Mariô - Live,32,267480,2013-01-01,['Criolo']
Criolo E Emicida Ao Vivo (Live),album,7bLMLwx6gJrCXoppD2YqOu,5,Subirusdoistiozin - Live,34,211280,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,2SPPB8Wi85U3cn6ptXLsR4,6,Demorô - Live,32,213773,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,0s76fxVvT3GOz0sEU64v4j,7,Viva (Melô Dos Vileiros) - Live,31,213960,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,4dr8LN0s4WhnLLTzfsZkj5,8,Só Mais Uma Noite - Live,32,188666,2013-01-01,"['Criolo', 'Emicida', 'Evandro Fióti']"
Criolo E Emicida Ao Vivo (Live),album,1Yxukx85EzhKgZpzbNywQv,9,Não Existe Amor Em SP - Live,34,392480,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,6KzAGApzyPBttDCH9rKUNv,10,Linha De Frente - Live,34,240373,2013-01-01,"['Criolo', 'Emicida', 'Rodrigo Campos']"
Criolo E Emicida Ao Vivo (Live),album,2e1FJPgVRQZFT53QKUR7BD,11,A Cada Vento - Live,35,243373,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,1FsemVMaaJRX9YKHBT5kAs,12,Outras Palavras - Live,31,294813,2013-01-01,"['Emicida', 'Criolo']"
Criolo E Emicida Ao Vivo (Live),album,1b0rnT35mqbls6Mh1EwVwE,13,Lion Man - Live,31,247680,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,0UZ3juSCFsN6lINBadUZNZ,14,Grajauex - Live,32,191453,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,19Oj8jiVAn3qRr0DhlLU1j,15,Triunfo - Live,36,273426,2013-01-01,"['Criolo', 'Emicida']"
Criolo E Emicida Ao Vivo (Live),album,0ITzKSRykU81569IrYUhVC,16,"Capítulo 4, Versículo 3 - Live",34,127053,2013-01-01,"['Criolo', 'Emicida', 'Mano Brown']"
Criolo E Emicida Ao Vivo (Live),album,3KYbhVPCxYHIeZg8Zy07ay,17,Vida Loka I - Live,39,271840,2013-01-01,"['Criolo', 'Emicida', 'Mano Brown']"
Criolo E Emicida Ao Vivo (Live),album,3xfUu8alkwuMg8UBht9TtW,18,Bogotá - Live,31,369773,2013-01-01,"['Criolo', 'Emicida']"
Doozicabraba e a Revolução Silenciosa,album,0pmExfJ9NhCdFgAvdhjNRl,1,Intro (Shiiiiu!),19,136493,2011-12-20,['Emicida']
Doozicabraba e a Revolução Silenciosa,album,3YEu2zvGsP1j30P7MdM8Uk,2,Licença Aqui,28,226440,2011-12-20,"['Emicida', 'Rael', 'Fióti']"
Doozicabraba e a Revolução Silenciosa,album,0jy5rowvJT5t6GQcyU7Md1,3,Cacariacô,25,156400,2011-12-20,"['Emicida', 'Fabiana Cozza']"
Doozicabraba e a Revolução Silenciosa,album,3njVe1xxVf8LLzIbHYgUbJ,4,Viva! (Melo dos Vileiro),34,195613,2011-12-20,"['Emicida', 'Rael']"
Doozicabraba e a Revolução Silenciosa,album,3tJPVeNIvz1AWtQZXYZagx,5,Num É Só Ver,38,258666,2011-12-20,"['Emicida', 'Rael']"
Doozicabraba e a Revolução Silenciosa,album,0Zli2GQT2t2Cdn5Y5FxMN2,6,"Zica, Vai Lá...",34,242026,2011-12-20,"['Emicida', 'Fióti']"
